iter	Passed	Remaining
0	160	160446
1	163	81493
2	165	54920
3	167	41821
4	175	34861
5	178	29648
6	181	25773
7	183	22789
8	188	20793
9	190	18890
10	192	17341
11	194	16019
12	196	14896
13	198	13957
14	199	13132
15	204	12571
16	207	11974
17	208	11397
18	210	10891
19	212	10416
20	220	10262
21	222	9869
22	223	9507
23	225	9181
24	227	8884
25	231	8670
26	234	8436
27	236	8192
28	237	7960
29	239	7750
30	241	7537
31	242	7348
32	247	7239
33	248	7069
34	250	6913
35	252	6769
36	255	6639
37	260	6605
38	263	6491
39	265	6369
40	267	6254
41	269	6146
42	271	6046
43	275	5985
44	281	5981
45	285	5915
46	294	5964
47	296	5890
48	302	5878
49	312	5935
50	315	5879
51	326	5950
52	330	5913
53	333	5840
54	346	5959
55	355	5998
56	360	5958
57	374	6082
58	377	6015
59	379	5940
60	392	6038
61	396	6001
62	401	5976
63	409	5984
64	411	5914
65	423	5997
66	426	5936
67	434	5951
68	440	5943
69	453	6029
70	457	5989
71	475	6123
72	482	6131
73	484	6065
74	486	6001
75	490	5963
76	499	5992
77	502	5940
78	505	5889
79	507	5830
80	518	5885
81	521	5835
82	522	5772
83	530	5780
84	535	5759
85	541	5757
86	545	5721
87	547	5672
88	549	5625
89	551	5576
90	555	5552
91	558	5511
92	560	5465
93	562	5420
94	564	5375
95	567	5339
96	572	5326
97	574	5286
98	575	5241
99	577	5200
100	580	5163
101	585	5152
102	588	5128
103	590	5091
104	593	5062
105	595	5023
106	597	4985
107	599	4954
108	601	4918
109	603	4881
110	605	4847
111	607	4814
112	609	4782
113	611	4750
114	613	4719
115	615	4689
116	616	4656
117	618	4624
118	620	4592
119	622	4561
120	623	4531
121	625	4498
122	626	4468
123	628	4440
124	630	4410
125	631	4381
126	633	4351
127	634	4324
128	636	4298
129	638	4271
130	639	4245
131	641	4219
132	643	4194
133	645	4169
134	646	4144
135	648	4119
136	650	4095
137	651	4071
138	653	4047
139	655	4024
140	656	4002
141	658	3975
142	659	3953
143	661	3933
144	669	3948
145	678	3965
146	681	3956
147	684	3938
148	685	3917
149	687	3896
150	694	3903
151	696	3887
152	698	3866
153	700	3846
154	703	3836
155	706	3823
156	708	3804
157	710	3785
158	712	3767
159	719	3774
160	720	3752
161	721	3733
162	723	3714
163	724	3695
164	726	3676
165	730	3667
166	732	3653
167	734	3636
168	735	3618
169	737	3600
170	738	3582
171	740	3565
172	742	3549
173	746	3541
174	748	3529
175	750	3511
176	751	3495
177	753	3478
178	754	3461
179	756	3445
180	761	3444
181	762	3428
182	764	3412
183	765	3396
184	767	3380
185	768	3364
186	770	3348
187	774	3347
188	776	3332
189	778	3317
190	779	3302
191	781	3287
192	782	3272
193	784	3257
194	785	3243
195	790	3244
196	792	3229
197	793	3215
198	795	3201
199	796	3187
200	798	3173
201	799	3160
202	801	3146
203	805	3141
204	806	3128
205	808	3114
206	809	3100
207	810	3087
208	812	3073
209	813	3060
210	815	3047
211	816	3035
212	819	3028
213	821	3016
214	822	3003
215	823	2990
216	825	2977
217	826	2965
218	828	2953
219	829	2940
220	833	2939
221	835	2928
222	836	2916
223	838	2904
224	839	2892
225	841	2881
226	842	2869
227	843	2857
228	845	2846
229	848	2840
230	849	2829
231	851	2820
232	853	2811
233	855	2800
234	857	2791
235	859	2782
236	861	2772
237	864	2767
238	865	2756
239	867	2746
240	868	2736
241	870	2726
242	871	2716
243	873	2706
244	874	2695
245	877	2690
246	879	2681
247	880	2671
248	883	2664
249	884	2654
250	886	2645
251	887	2635
252	889	2625
253	890	2615
254	893	2610
255	894	2600
256	897	2595
257	899	2586
258	900	2576
259	902	2567
260	903	2557
261	904	2548
262	907	2543
263	909	2534
264	910	2525
265	912	2516
266	913	2508
267	915	2499
268	916	2490
269	918	2482
270	919	2473
271	922	2468
272	923	2460
273	925	2452
274	926	2443
275	928	2434
276	929	2426
277	931	2417
278	932	2409
279	933	2401
280	935	2393
281	938	2389
282	939	2381
283	941	2372
284	942	2365
285	944	2357
286	945	2349
287	947	2341
288	948	2333
289	951	2328
290	953	2322
291	954	2315
292	956	2308
293	958	2301
294	959	2293
295	962	2288
296	963	2281
297	966	2277
298	968	2271
299	970	2264
300	971	2256
301	973	2249
302	974	2241
303	975	2234
304	977	2227
305	979	2220
306	982	2218
307	984	2211
308	985	2204
309	987	2197
310	988	2190
311	990	2183
312	991	2176
313	992	2169
314	994	2163
315	997	2159
316	999	2152
317	1000	2146
318	1002	2139
319	1004	2133
320	1005	2127
321	1006	2120
322	1008	2113
323	1011	2110
324	1013	2104
325	1014	2097
326	1016	2091
327	1017	2084
328	1018	2078
329	1020	2071
330	1021	2065
331	1023	2058
332	1025	2054
333	1027	2048
334	1028	2042
335	1030	2035
336	1031	2029
337	1033	2023
338	1034	2017
339	1036	2011
340	1037	2005
341	1040	2002
342	1042	1997
343	1044	1991
344	1045	1985
345	1047	1979
346	1049	1974
347	1050	1968
348	1052	1963
349	1056	1962
350	1058	1956
351	1060	1951
352	1062	1947
353	1065	1943
354	1066	1938
355	1068	1932
356	1071	1930
357	1073	1925
358	1075	1919
359	1076	1913
360	1077	1907
361	1079	1902
362	1080	1896
363	1081	1890
364	1083	1884
365	1086	1882
366	1088	1876
367	1089	1871
368	1091	1865
369	1092	1860
370	1093	1854
371	1095	1848
372	1096	1843
373	1097	1837
374	1101	1836
375	1103	1830
376	1104	1824
377	1106	1820
378	1107	1815
379	1109	1809
380	1110	1804
381	1111	1798
382	1113	1794
383	1116	1791
384	1118	1786
385	1119	1780
386	1121	1776
387	1122	1770
388	1124	1765
389	1125	1760
390	1126	1755
391	1128	1750
392	1130	1745
393	1131	1740
394	1133	1735
395	1134	1730
396	1135	1725
397	1137	1720
398	1138	1714
399	1139	1709
400	1141	1704
401	1144	1703
402	1146	1698
403	1147	1693
404	1149	1688
405	1150	1683
406	1152	1679
407	1154	1675
408	1155	1670
409	1159	1668
410	1160	1663
411	1162	1658
412	1163	1653
413	1164	1648
414	1166	1644
415	1167	1639
