iter	Passed	Remaining
0	4	428
1	8	406
2	11	380
3	14	351
4	18	358
5	22	357
6	26	352
7	29	343
8	33	339
9	37	334
10	40	326
11	43	320
12	47	318
13	51	314
14	54	308
15	57	302
16	63	309
17	67	308
18	71	303
19	74	298
20	77	292
21	81	288
22	85	285
23	88	279
24	90	272
25	93	265
26	95	257
27	96	248
28	98	241
29	100	233
30	101	226
31	103	219
32	104	212
33	106	207
34	108	201
35	109	194
36	111	189
37	112	183
38	113	178
39	115	172
40	116	167
41	117	162
42	118	157
43	120	152
44	121	148
45	123	144
46	124	140
47	126	136
48	127	132
49	128	128
50	130	124
51	131	121
52	132	117
53	134	114
54	135	110
55	136	107
56	137	104
57	139	101
58	141	98
59	142	95
60	144	92
61	145	89
62	146	86
63	148	83
64	149	80
65	151	77
66	152	75
67	154	72
68	155	69
69	156	67
70	158	64
71	159	62
72	161	59
73	162	57
74	163	54
75	165	52
76	166	49
77	168	47
78	169	45
79	170	42
80	172	40
81	173	38
82	174	35
83	176	33
84	177	31
85	178	29
86	180	26
87	181	24
88	183	22
89	184	20
90	185	18
91	187	16
92	188	14
93	189	12
94	191	10
95	192	8
96	194	6
97	195	3
98	196	1
99	198	0
